occurrence_id,collection_id,name,rank,max_ma,min_ma,lon,lat,province,paleo_lon,paleo_lat,formation,quality,collection_methods,diet,time_bins
1033168,126538,Shenmuichnus,genus,237,201.3,110.604721,38.758888,Shaanxi,122.21,43.18,Yongping,medium,"surface (in situ),observed (not collected)",herbivore,Norian
1033169,126538,Theropoda,unranked clade,237,201.3,110.604721,38.758888,Shaanxi,122.21,43.18,Yongping,medium,"surface (in situ),observed (not collected)",carnivore,Norian
1587532,224334,Grallatoridae,family,228,201.3,101.788002,26.528,Sichuan,112.41,30.81,Baoding,medium,"surface (float),surface (in situ),field collection,observed (not collected)",carnivore,Norian
1587539,224336,Theropoda,unranked clade,228,208.5,102.737,30.1,Sichuan,112.37,30.09,Xujiahe,good,"surface (in situ),field collection,observed (not collected)",carnivore,Norian
1587540,224337,Theropoda,unranked clade,228,208.5,102.726997,30.09,Sichuan,112.36,30.08,Xujiahe,,"surface (in situ),field collection",carnivore,Norian
1621605,224337,Pengxianpus,genus,228,208.5,102.726997,30.09,Sichuan,112.36,30.08,Xujiahe,,"surface (in situ),field collection",carnivore,Norian
1621606,224337,Kayentapus,genus,228,208.5,102.726997,30.09,Sichuan,112.36,30.08,Xujiahe,,"surface (in situ),field collection",carnivore,Norian
492835,49781,Prosauropoda,unranked clade,208.5,174.1,104.650002,29.549999,Sichuan,126.11,40.8,Zhenzhuchong,medium,field collection,herbivore,-
575515,60501,Pengxianpus cifengensis,species,208.5,201.3,104.43528,30.856112,Sichuan,119.75,43.29,Xujiahe,,"surface (in situ),field collection,observed (not collected)",carnivore,Rhaetian
1558330,219851,Eosauropus,genus,208.5,201.3,103.067497,28.663889,Sichuan,118.66,40.93,Xujiahe,poor,"surface (in situ),observed (not collected)",,Rhaetian
575541,60515,Changpeipus carbonicus,species,201.3,145,126.033058,42.682499,Jilin,145.41,48.36,Tuntianying,medium,"surface (in situ),mechanical,field collection,observed (not collected)",carnivore,-
750022,80228,Sauropoda,unranked clade,201.3,145,87.232765,43.565739,Xinjiang,100.92,49.27,,poor,survey of museum collection,herbivore,-
492833,49780,Gyposaurus sinensis,species,201.3,174.1,107,27,Guizhou,129.46,36.9,Zhenzhuchong,,field collection,herbivore,-
575513,60499,Eubrontes zigongensis,species,201.3,174.1,104.568611,29.751944,Sichuan,126.3,39.34,Zhenzhuchong,,field collection,carnivore,-
575514,60500,Sauropoda,unranked clade,201.3,174.1,105.784447,29.451111,Chongqing,127.71,39.19,Zhenzhuchong,,"surface (in situ),observed (not collected)",herbivore,-
887573,74735,Tonganosaurus hei,species,201.3,174.1,102.144447,26.343056,Sichuan,124.23,35.67,Yimen,good,"mechanical,field collection",herbivore,-
936158,107973,Eubrontes glenrosensis,species,201.3,174.1,108.561668,41.371666,Inner Mongolia,133.49,52.99,,good,"surface (in situ),observed (not collected)",carnivore,-
936159,107973,Kayentapus hailiutuensis,species,201.3,174.1,108.561668,41.371666,Inner Mongolia,133.49,52.99,,good,"surface (in situ),observed (not collected)",carnivore,-
936160,107973,Anomoepus scambus,species,201.3,174.1,108.561668,41.371666,Inner Mongolia,133.49,52.99,,good,"surface (in situ),observed (not collected)",herbivore,-
1033166,126537,Shenmuichnus youngteilhardorum,species,201.3,174.1,110.604721,38.758888,Shaanxi,135.03,50.1,Fuxian,medium,"surface (in situ),peel or thin section,field collection,observed (not collected)",herbivore,-
1033167,126537,Theropoda,unranked clade,201.3,174.1,110.604721,38.758888,Shaanxi,135.03,50.1,Fuxian,medium,"surface (in situ),peel or thin section,field collection,observed (not collected)",carnivore,-
1033171,126539,Anomoepus,genus,201.3,174.1,110.655807,38.783073,Shaanxi,135.1,50.12,Yanan,,"surface (in situ),peel or thin section,observed (not collected)",herbivore,-
1033172,126539,Grallator,genus,201.3,174.1,110.655807,38.783073,Shaanxi,135.1,50.12,Yanan,,"surface (in situ),peel or thin section,observed (not collected)",carnivore,-
1066342,131876,Sauropoda,unranked clade,201.3,174.1,103,36.640278,Gansu,125.27,49.19,,medium,"surface (in situ),field collection",herbivore,-
1066343,131877,Iguanodontidae,family,201.3,174.1,103,36.640278,Gansu,125.27,49.19,,medium,"surface (in situ),field collection",herbivore,-
1066344,131878,Sauropoda,unranked clade,201.3,174.1,103,36.640278,Gansu,125.27,49.19,,medium,"surface (in situ),field collection",herbivore,-
1252927,165590,Lufengosaurus changduensis,species,201.3,174.1,97.199997,31.1,Tibet,108.73,34.57,,,"mechanical,field collection",,-
1252928,165590,Damalasaurus magnus,species,201.3,174.1,97.199997,31.1,Tibet,108.73,34.57,,,"mechanical,field collection",herbivore,-
1252929,165590,Megalosaurus tibetensis,species,201.3,174.1,97.199997,31.1,Tibet,108.73,34.57,,,"mechanical,field collection",carnivore,-
1252930,165590,Scelidosaurus,genus,201.3,174.1,97.199997,31.1,Tibet,108.73,34.57,,,"mechanical,field collection",herbivore,-
1337463,180464,Brontopodus,genus,201.3,174.1,102.144447,26.343056,Sichuan,124.23,35.67,Yimen,medium,"surface (in situ),observed (not collected)",herbivore,-
1348093,182653,Sauropoda,unranked clade,201.3,174.1,105.1642,29.116699,Sichuan,127.07,38.78,,medium,"surface (in situ),observed (not collected)",herbivore,-
1587712,224366,Shanbeipus caudatus,species,201.3,174.1,109.804443,37.650276,Shaanxi,133.71,49.15,Fuxian,,"surface (float),field collection,observed (not collected)",carnivore,-
1587713,224366,Pengxianpus yulinensis,species,201.3,174.1,109.804443,37.650276,Shaanxi,133.71,49.15,Fuxian,,"surface (float),field collection,observed (not collected)",carnivore,-
1587714,224366,Eubrontes,genus,201.3,174.1,109.804443,37.650276,Shaanxi,133.71,49.15,Fuxian,,"surface (float),field collection,observed (not collected)",carnivore,-
1587715,224366,Kayentapus,genus,201.3,174.1,109.804443,37.650276,Shaanxi,133.71,49.15,Fuxian,,"surface (float),field collection,observed (not collected)",carnivore,-
1587716,224366,Ornithopoda,unranked clade,201.3,174.1,109.804443,37.650276,Shaanxi,133.71,49.15,Fuxian,,"surface (float),field collection,observed (not collected)",herbivore,-
259970,25125,Dilophosaurus sinensis,species,201.3,190.8,102.591942,24.671667,Yunnan,122.45,37.04,Lufeng,good,"selective quarrying,field collection",carnivore,Sinemurian
259971,25125,Yunnanosaurus,genus,201.3,190.8,102.591942,24.671667,Yunnan,122.45,37.04,Lufeng,good,"selective quarrying,field collection",,Sinemurian
492809,49772,Sauropoda,unranked clade,201.3,190.8,102.402802,25.530001,Yunnan,122.09,37.86,Lufeng,medium,"selective quarrying,mechanical,field collection",herbivore,Sinemurian
575228,60464,Theropoda,unranked clade,201.3,190.8,102.101669,25.167778,Yunnan,121.81,37.46,Lufeng,,"surface (in situ),observed (not collected)",carnivore,Sinemurian
575521,60504,Changpeipus,genus,201.3,190.8,84.38028,44.138889,Xinjiang,94.87,61.31,Badaowan,,"surface (in situ),peel or thin section,field collection,observed (not collected)",carnivore,Sinemurian
