"","code","country.x","primary","country.y","poverty","region","income","gini","duration","completion","trained_teacher"
"1","ABW","Aruba",NA,"Aruba",NA,"Latin America & Caribbean","High income",NA,13,"91.3757782","99.77842458"
"2","AFE","Africa Eastern and Southern",NA,"Africa Eastern and Southern",NA,NA,NA,NA,7,"#DIV/0!","78.20289697"
"3","AFG","Afghanistan",NA,"Afghanistan",NA,"South Asia","Low income",NA,9,"18.62063026","#DIV/0!"
"4","AFW","Africa Western and Central",NA,"Africa Western and Central",NA,NA,NA,NA,9,"#DIV/0!","67.31820884"
"5","AGO","Angola",NA,"Angola",NA,"Sub-Saharan Africa","Lower middle income",NA,6,"43.70162964","47.48641968"
"6","ALB","Albania",97.65542,"Albania",0.1,"Europe & Central Asia","Upper middle income",32.8,9,"95.95620728","75.84456825"
"7","AND","Andorra",NA,"Andorra",NA,"Europe & Central Asia","High income",NA,10,"97.16477013","100"
"8","ARB","Arab World",84.53258,"Arab World",NA,NA,NA,NA,9,"#DIV/0!","86.44225663"
"9","ARE","United Arab Emirates",99.40189,"United Arab Emirates",NA,"Middle East & North Africa","High income",NA,12,"89.60606079","100"
"10","ARG","Argentina",99.4496,"Argentina",0.7,"Latin America & Caribbean","Upper middle income",NA,14,"#DIV/0!","#DIV/0!"
"11","ARM","Armenia",92.49744,"Armenia",1.1,"Europe & Central Asia","Upper middle income",32.4,12,"99.32046509","75.9700737"
"12","ASM","American Samoa",NA,"American Samoa",NA,"East Asia & Pacific","High income",NA,NA,"#DIV/0!","#DIV/0!"
"13","ATG","Antigua and Barbuda",NA,"Antigua and Barbuda",NA,"Latin America & Caribbean","High income",NA,11,"#DIV/0!","60.45059804"
"14","AUS","Australia",96.7724,"Australia",0.5,"East Asia & Pacific","High income",NA,10,"99.88547516","#DIV/0!"
"15","AUT","Austria",88.8771,"Austria",0.7,"Europe & Central Asia","High income",30.5,13,"#DIV/0!","#DIV/0!"
"16","AZE","Azerbaijan",94.96529,"Azerbaijan",NA,"Europe & Central Asia","Upper middle income",NA,10,"98.49313202","99.57421811"
"17","BDI","Burundi",NA,"Burundi",NA,"Sub-Saharan Africa","Low income",NA,NA,"14.4639554","97.6650486"
"18","BEL","Belgium",98.66219,"Belgium",0.1,"Europe & Central Asia","High income",27.7,12,"94.26251221","#DIV/0!"
"19","BEN","Benin",NA,"Benin",NA,"Sub-Saharan Africa","Lower middle income",47.8,6,"23.15015984","65.8617012"
"20","BFA","Burkina Faso",75.85293,"Burkina Faso",NA,"Sub-Saharan Africa","Low income",NA,10,"15.96338463","86.74805797"
"21","BGD","Bangladesh",NA,"Bangladesh",13.5,"South Asia","Lower middle income",NA,5,"54.60228195","56.10413742"
"22","BGR","Bulgaria",89.46126,"Bulgaria",2,"Europe & Central Asia","Upper middle income",38.6,11,"#DIV/0!","#DIV/0!"
"23","BHR","Bahrain",97.90026,"Bahrain",NA,"Middle East & North Africa","High income",NA,9,"80.96233826","88.84358631"
"24","BHS","Bahamas, The",75.50359,"Bahamas, The",NA,"Latin America & Caribbean","High income",NA,12,"95.07771301","90.1564116"
"25","BIH","Bosnia and Herzegovina",NA,"Bosnia and Herzegovina",NA,"Europe & Central Asia","Upper middle income",NA,9,"81.16378675","#DIV/0!"
"26","BLR","Belarus",96.35791,"Belarus",0,"Europe & Central Asia","Upper middle income",25.6,11,"99.78855133","99.54790908"
"27","BLZ","Belize",99.24787,"Belize",NA,"Latin America & Caribbean","Upper middle income",NA,8,"88.86719513","68.81968102"
"28","BMU","Bermuda",NA,"Bermuda",NA,"North America","High income",NA,13,"#DIV/0!","100"
"29","BOL","Bolivia",89.84267,"Bolivia",5.6,"Latin America & Caribbean","Lower middle income",46.7,14,"64.38090827","88.255071"
"30","BRA","Brazil",97.20202,"Brazil",4.7,"Latin America & Caribbean","Upper middle income",51.9,14,"81.12454709","92.13656108"
"31","BRB","Barbados",98.03848,"Barbados",NA,"Latin America & Caribbean","High income",NA,11,"#DIV/0!","70.5101301"
"32","BRN","Brunei Darussalam",96.68663,"Brunei Darussalam",NA,"East Asia & Pacific","High income",NA,9,"91.29064178","86.01770991"
"33","BTN","Bhutan",89.71099,"Bhutan",NA,"South Asia","Lower middle income",NA,NA,"26.39257908","100"
"34","BWA","Botswana",NA,"Botswana",NA,"Sub-Saharan Africa","Upper middle income",53.3,NA,"#DIV/0!","99.08467484"
"35","CAF","Central African Republic",NA,"Central African Republic",NA,"Sub-Saharan Africa","Low income",NA,10,"30.84333038","#DIV/0!"
"36","CAN","Canada",99.95587,"Canada",0.2,"North America","High income",33.7,10,"#DIV/0!","#DIV/0!"
"37","CEB","Central Europe and the Baltics",93.06906,"Central Europe and the Baltics",NA,NA,NA,NA,10,"#DIV/0!","96.0849006"
"38","CHE","Switzerland",99.75942,"Switzerland",0,"Europe & Central Asia","High income",32.3,11,"99.67044067","#DIV/0!"
"39","CHI","Channel Islands",NA,"Channel Islands",NA,"Europe & Central Asia","High income",NA,NA,"#DIV/0!","#DIV/0!"
"40","CHL","Chile",94.04385,"Chile",NA,"Latin America & Caribbean","High income",44.4,12,"86.27104187","#DIV/0!"
"41","CHN","China",NA,"China",0.8,"East Asia & Pacific","Upper middle income",38.6,9,"#DIV/0!","#DIV/0!"
"42","CIV","Cote d'Ivoire",86.90249,"Cote d'Ivoire",NA,"Sub-Saharan Africa","Lower middle income",41.5,10,"34.98509407","97.26139577"
"43","CMR","Cameroon",94.493,"Cameroon",NA,"Sub-Saharan Africa","Lower middle income",NA,6,"48.26652908","71.64666312"
"44","COD","Congo, Dem. Rep.",NA,"Congo, Dem. Rep.",NA,"Sub-Saharan Africa","Low income",NA,6,"60.78171794","93.61438533"
"45","COG","Congo, Rep.",NA,"Congo, Rep.",NA,"Sub-Saharan Africa","Lower middle income",NA,10,"71.99141693","82.13951111"
"46","COL","Colombia",95.42469,"Colombia",4.9,"Latin America & Caribbean","Upper middle income",51,12,"76.80166753","97.57148951"
"47","COM","Comoros",NA,"Comoros",NA,"Sub-Saharan Africa","Lower middle income",NA,6,"#DIV/0!","52.95396233"
