Student_ID,Physics,Chemistry,Class,Hometown
1,69,81,class 1,Beijing
2,74,75,class 1,Beijing
3,66,78,class 1,Beijing
4,80,77,class 1,Beijing
5,78,79,class 1,Beijing
6,73,60,class 1,Beijing
7,82,90,class 1,Beijing
8,89,85,class 1,Shanghai
9,70,95,class 1,Shanghai
10,73,96,class 1,Shanghai
11,81,92,class 1,Tianjin
12,88,78,class 1,Tianjin
13,90,90,class 1,Tianjin
14,75,77,class 1,Shanghai
15,78,72,class 2,Shanghai
16,90,69,class 2,Shanghai
17,68,80,class 2,Shanghai
18,92,84,class 2,Shanghai
19,99,89,class 2,Shanghai
20,76,92,class 2,Shanghai
21,85,68,class 2,Shanghai
22,81,71,class 2,Beijing
23,93,93,class 2,Beijing
24,95,82,class 2,Beijing
25,70,88,class 2,Beijing
26,89,90,class 2,Beijing
27,79,93,class 2,Beijing
28,84,71,class 2,Tianjin
29,70,79,class 2,Tianjin
30,90,94,class 2,Tianjin
