year,crop_yield,fertilizer
1961,0.8102,2.16
1962,0.91069996,2.3
1963,0.8993,2.63
1964,0.85499996,2.97
1965,0.8429,3.18
1966,0.8165,3.08
1967,0.96029997,3.39
1968,0.9158,3.79
1969,0.8752,3.94
1970,0.90749997,4.57
1971,0.98569995,5.22
1972,1.0064,5.91
1973,0.8695,5.69
1974,1.0775,5.91
1975,1.0809,6.75
1976,1.0382999,7.07
1977,1.0325,7.38
1978,1.0921999,7.74
1979,1.0608,8.42
1980,1.1309,9.87
1981,1.2415,10.69
1982,1.1617,10.51
1983,1.0266,9.63
1984,0.99609995,9.93
1985,1.1414,10.16
1986,1.156,10.61
1987,1.1121,10.08
1988,1.2057999,10.79
1989,1.2330999,10.33
1990,1.181,10.6
1991,1.2372,10.2
1992,1.0425,9.92
1993,1.1895,10.95
1994,1.1948,9.48
1995,1.1151,9.82
1996,1.3237,10.56
1997,1.2009,10.28
1998,1.2278,10.58
1999,1.2713,10.77
2000,1.2655,11.01
2001,1.2923,11.15
2002,1.3154,12.23
2003,1.3212999,11.39
2004,1.3988,13.01
2005,1.3274,12.3
2006,1.4454,12.69
2007,1.3582,11.38
2008,1.4528999,11.56
2009,1.5385,11.67
2010,1.5134,12.95
2011,1.4706999,12.31
2012,1.5728999,12.06
2013,1.5236,12.68
2014,1.5911,12.99
2015,1.6247,13
2016,1.5288999,14.26
2017,1.6556,16.46
2018,1.6654999,15.61
2019,1.6629,15.62
2020,1.7091999,16.31
