Dribbling,Striking,Passing,Tackling,Header,Speed,Strong,Stamina,Position,Role
12.75,18.35,14.93,8.21,12.31,18.2,8.93,13.61,Forward,Striker
13.45,19.12,15.32,5.59,11.51,16.24,7.37,12.81,Forward,Striker
14.12,17.33,17.11,7,13.09,17,7.93,12.64,Forward,Striker
13.55,15.62,13.09,6.88,14,18.05,5.62,10.17,Forward,Striker
18.78,15.25,13.56,11.53,6.72,17.23,7.24,15.75,Forward,Winger
17.42,14.88,14.91,10.14,4.32,19.86,4.39,14.04,Forward,Winger
17.46,14.93,15.06,11.45,5.43,19.77,9.78,18.68,Forward,Winger
18.81,14.22,13.98,10.53,7.23,18.24,6.16,15.52,Forward,Winger
16.64,9.64,18.31,12.03,11.26,11.72,13.38,18.12,Midfielder,Central Midfielder
14.25,11.15,16.57,13.08,10.67,13,14.71,16.34,Midfielder,Central Midfielder
14.33,10.92,15.61,11.7,9.72,10.2,12.33,19.5,Midfielder,Central Midfielder
17.01,8.83,17.43,15.79,7.5,12.71,14.81,15.28,Midfielder,Defensive Midfielder
11.7,11.69,16.39,14.32,8.02,13.28,15.87,18.48,Midfielder,Defensive Midfielder
13.86,12.81,18.27,14.34,10.83,11.7,16.79,17.65,Midfielder,Defensive Midfielder
7.55,4.86,7.78,15.07,15.77,11.97,16.83,11.78,Defender,Central Back
6.13,3.34,3.02,14.31,14.99,10.92,15.09,13.79,Defender,Central Back
7.2,2.39,6.32,16.43,16.97,8.51,18.28,12.88,Defender,Central Back
8.32,5.34,8.1,17.75,16.44,11.7,14.38,11.99,Defender,Central Back
5.68,2.75,4.44,18.74,17.46,7.7,15.36,10.4,Defender,Central Back
13.33,5.72,12.95,15.41,13.41,15.63,15.85,14.2,Defender,Fullback
15,6.7,9.52,13.12,12.46,14.08,13.12,15.42,Defender,Fullback
12.99,2.39,11.76,12.85,12.42,16.2,14.44,19.13,Defender,Fullback
15.94,3.43,10.15,13.84,14.23,15.88,15.89,16.17,Defender,Fullback
4.99,3.61,11.47,7.06,4.96,8.4,14.14,11.29,Keeper,Keeper
3,1.03,13.78,5.15,2.17,6.69,12.53,10.2,Keeper,Keeper
2.22,2.98,12.11,6.47,3.84,4.32,13.55,12.47,Keeper,Keeper
