State,Employment,Annual Mean Wage,Annual Median Wage,Employment per 1000 Jobs,Location Quotient
Alabama,210,64970,58940,0.109,0.54
Alaska,430,99400,94390,1.373,6.79
Arizona,420,77650,75820,0.151,0.75
Arkansas,90,67260,52440,0.073,0.36
California,4100,97550,93310,0.241,1.19
Colorado,2010,111130,91440,0.768,3.8
Connecticut,140,85250,74450,0.085,0.42
Delaware,100,80570,87000,0.228,1.13
Florida,740,80970,81650,0.086,0.43
Georgia,490,68860,62040,0.112,0.55
Hawaii,120,109530,97910,0.19,0.94
Idaho,90,88060,83170,0.122,0.6
Illinois,350,69480,61400,0.058,0.29
Indiana,390,61870,57430,0.128,0.63
Iowa,50,71490,78000,0.033,0.16
Kansas,250,77590,70880,0.18,0.89
Kentucky,210,73230,69890,0.109,0.54
Louisiana,910,109700,98720,0.477,2.36
Maine,70,74380,62510,0.113,0.56
Maryland,600,90110,86970,0.222,1.1
Massachusetts,400,87650,81180,0.113,0.56
Michigan,420,           -,           -,0.096,0.48
Minnesota,270,78410,77980,0.093,0.46
Mississippi,350,91490,93070,0.31,1.53
Missouri,230,70340,70360,0.083,0.41
Montana,210,92680,85780,0.454,2.25
Nebraska,60,79570,78920,0.062,0.31
Nevada,540,94500,81100,0.403,1.99
New Hampshire,110,95510,85870,0.162,0.8
New Jersey,220,98050,93670,0.055,0.27
New Mexico,270,86620,77610,0.33,1.63
New York,700,76360,71050,0.074,0.37
North Carolina,430,71830,70160,0.099,0.49
North Dakota,70,97320,81200,0.172,0.85
Ohio,310,75600,75140,0.057,0.28
Oklahoma,1140,123230,113690,0.714,3.53
Oregon,330,74920,72320,0.173,0.86
Pennsylvania,1210,108580,80300,0.207,1.02
Rhode Island,70,88130,80750,0.154,0.76
South Carolina,190,72040,69700,0.092,0.45
South Dakota,60,63680,61020,0.132,0.65
Tennessee,200,77510,73880,0.066,0.33
Texas,7810,150140,131710,0.644,3.19
Utah,260,80970,71930,0.177,0.88
Virginia,320,96290,86170,0.084,0.41
Washington,880,93710,88060,0.269,1.33
West Virginia,160,77530,76960,0.231,1.14
Wisconsin,80,75110,73140,0.027,0.13
Wyoming,160,73220,69370,0.591,2.93
